Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00751159;IPI00749947;IPI00757836;IPI00749566;IPI00114939;IPI00776159,-0.12,-0.18,-0.22,-0.11,-0.07,-0.43,-0.2,-0.41,,0.57,-0.12,6,6,6,10.5,1.77E-20,73.11,15,-,79616782,Cbx6;Nptxr;Npcd;Npr,Q9DBY5;Q6TKP2;B9EIV5;Q3UH37;Q3UH69;Q6PD36;Q6TLW2;Q6TLW0;Q6TLW1;Q99J85,Chromobox protein homolog 6;Neuronal pentraxin with chromo domain;Neuronal pentraxin receptor;Putative uncharacterized protein;Nptxr protein;Neuronal pentraxin 1.3 kb variant;Neuronal pentraxin 1.4 kb variant;Neuronal pentraxin 1.1 kb variant
IPI00153642;IPI00280207,0.01,-0.06,0.02,0.02,-0.02,0.03,0.07,0.05,,0.57,0.04,4,4,4,8.8,5.14E-67,61.976,13,-,58277524,Ubqln1;Plic1,Q8R317-1;Q8R317;Q66K07;Q8R317-2;Q3T992;Q3TN93;Q3V2J6,Ubiquilin-1;Protein linking IAP with cytoskeleton 1;Ubqln1 protein;Putative uncharacterized protein
IPI00759878;IPI00323624,0.02,-0.23,0.05,-0.01,0.08,-0.09,0.1,0.21,,0.57,0.12,47,47,42,39.1,0.00E+00,186.48,17,-,57343397,C3,P01027-2;P01027;B5APU1;Q207D2;Q80XP1;P01027-1,Complement C3;HSE-MSF;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha' chain;Complement C3c alpha' chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha' chain fragment 2;Complement component 3d;Complement component c3d;Complement component 3
IPI00420243;IPI00120572,0.13,-0.04,-0.02,0.02,-0.25,0.06,0,-0.16,,0.57,-0.11,6,6,6,17.6,9.89E-19,49.494,15,+,84753823,Nup50;mCG_13583;Npap60,Q3TG43;Q3TN17;Q6P1F4;Q6PAL4;Q8C2Y6;Q9JIH2,Putative uncharacterized protein;Nucleoporin 50;Nucleoporin 50 kDa;Nuclear pore-associated protein 60 kDa-like
IPI00111416,0.12,0.21,0.13,-0.06,0.01,-0.06,-0.12,0.14,,0.57,-0.11,6,6,6,33.6,4.33E-65,31.195,4,-,132410277,Stx12;RP23-464L12.3-001;mCG_118857,Q9ER00;A2ADS0;Q3TDG9;Q3TIL5,Syntaxin-12;Syntaxin 12;Putative uncharacterized protein
IPI00267299;IPI00460703,-0.13,-0.19,-0.02,,-0.03,0.02,-0.05,-0.06,,0.57,0.08,3,3,3,6.1,3.49E-36,78.947,1,+,63777215,Fastkd2;mKIAA0971,Q922E6;Q6ZQ14,FAST kinase domain-containing protein 2;MKIAA0971 protein
IPI00165731;IPI00895120;IPI00895254,0.1,0.15,0,0.15,0.1,0.23,0.19,0.12,,0.57,0.06,8,8,3,33.2,1.21E-14,45.269,2,-,150658229,Abhd12,Q99LR1,Monoacylglycerol lipase ABHD12;2-arachidonoylglycerol hydrolase;Abhydrolase domain-containing protein 12
IPI00113655;IPI00108454;IPI00474622;IPI00672455,0.03,0.09,0.08,0.06,0,-0.02,-0.01,0.11,,0.57,-0.04,14,14,5,59.4,1.12E-112,28.68,4,-,86500566,Rps6;RP24-468M3.2-001;mCG_6542,P62754;Q3TL53;Q5BLK1;Q8BT09,"40S ribosomal protein S6;Phosphoprotein NP33;Putative uncharacterized protein;MCG6542, isoform CRA_f;Ribosomal protein S6"
IPI00408985;IPI00467229,-0.2,-0.48,-0.42,-0.29,-0.17,-0.2,-0.11,-0.41,,0.57,0.12,3,3,3,12,8.81E-85,35.257,15,-,99327436,Faim2;Kiaa0950;Lfg,Q8K097-1;Q8K097;Q8K097-2,Fas apoptotic inhibitory molecule 2;Protein lifeguard
IPI00752412;IPI00122048,-0.08,-0.12,-0.04,-0.02,0.01,-0.04,-0.01,-0.06,,0.57,0.04,36,27,26,48.9,0.00E+00,115.97,7,-,25763192,Atp1a3;mCG_7257,Q8VCE0;Q6PIC6;Q8CGD9;Q8R0B0;Q8R0E8,"ATPase, Na+/K+ transporting, alpha 3 polypeptide;ATPase, Na+/K+ transporting, alpha 3 polypeptide, isoform CRA_c;Sodium/potassium-transporting ATPase subunit alpha-3;Na(+)/K(+) ATPase alpha-3 subunit;Na(+)/K(+) ATPase alpha(III) subunit;Atp1a3 protein"
IPI00620362;IPI00653643;IPI00457527;IPI00379986;IPI00677633,-0.06,0.41,0.38,0.13,-0.1,-0.08,-0.11,0.32,,0.57,-0.21,15,15,15,46.2,0.00E+00,63.963,7,+,29595956,Hnrnpl;Hnrpl,Q8R081;Q9CVU5;Q3UMT7,Heterogeneous nuclear ribonucleoprotein L;Putative uncharacterized protein
IPI00133528;IPI00854955,-0.04,0.19,-0.12,0.01,,0.01,0.19,0.47,,0.57,0.21,6,6,6,30.5,5.90E-52,33.752,15,+,12251205,Golph3;Gpp34,Q9CRA5-1;Q9CRA5;Q05BZ0;Q3TIL4;Q3UWP6,Golgi phosphoprotein 3;Coat protein GPP34;Golph3 protein;Putative uncharacterized protein
IPI00664030;IPI00649141;IPI00874572,,-0.03,0.12,-0.08,0.06,0.05,0.2,0.13,,0.57,0.11,9,9,9,2.1,2.37E-15,490.18,4,-,144564693,Vps13d;RP23-133N19.2-002;RP23-133N19.2-001;mKIAA0453,B1ART2;B1ART1;Q6A066,Vacuolar protein sorting 13D (Yeast);MKIAA0453 protein
IPI00415914,0.22,-0.21,-0.2,,0.09,0.1,0.34,,,0.57,0.24,4,4,4,5.7,4.79E-15,94.33,6,-,85419572,Fbxo41;D6Ertd538e;Kiaa1940;mCG_142096,Q6NS60;Q3UGY7,F-box only protein 41;Putative uncharacterized protein;F-box protein 41
IPI00331076;IPI00749669,0.01,-0.09,-0.02,-0.06,-0.04,-0.07,-0.17,-0.07,,0.57,-0.05,28,28,28,33.4,4.01E-289,141.46,19,+,47654168,Slk;Kiaa0204;Stk2,O54988-1;O54988;O54988-2;A2RRK3,STE20-like serine/threonine-protein kinase;STE20-related serine/threonine-protein kinase;Serine/threonine-protein kinase 2;STE20-related kinase SMAK;Etk4;Slk protein
IPI00387504;IPI00331563;IPI00553379;IPI00758361;IPI00553623,-0.02,0.33,0.36,0.18,-0.04,-0.05,-0.04,0.32,,0.57,-0.17,2,2,2,10.1,1.72E-12,26.438,11,-,69470205,Mpdu1;RP23-422L16.8-001;Supl15h;RP23-422L16.8-003;RP23-422L16.8-002,Q8C9V6;Q8R0J2;Q9R0Q9;Q5F2A9;Q5F2B1,Putative uncharacterized protein;Mannose-P-dolichol utilization defect 1;Mannose-P-dolichol utilization defect 1 protein;Suppressor of Lec15 and Lec35 glycosylation mutation homolog
IPI00468685,0.09,-0.09,-0.07,0.11,0.14,0.41,0.4,-0.15,,0.57,0.19,3,3,3,8.3,1.08E-16,52.728,1,-,137056829,Gpr37l1;Etbrlp2,Q99JG2;A1L151,Endothelin B receptor-like protein 2;G-protein coupled receptor 37-like 1;G protein-coupled receptor 37-like 1
IPI00330039;IPI00408623;IPI00874660;IPI00874819;IPI00415258,-0.1,-0.21,-0.27,-0.16,-0.09,-0.03,-0.06,-0.24,,0.57,0.08,18,18,17,22.7,2.78E-214,124.42,6,-,112671964,Srgap3;Arhgap14;Kiaa0411;Srgap2,Q812A2-1;Q812A2;Q812A2-2;Q91Z68;Q812A2-4,SLIT-ROBO Rho GTPase-activating protein 3;srGAP2;WAVE-associated Rac GTPase-activating protein;Rho GTPase-activating protein 14;GAP3
IPI00420426;IPI00471392,-0.04,0.09,0,-0.01,-0.06,-0.06,-0.02,0.01,,0.56,-0.04,28,28,26,27.3,2.45E-222,119.19,7,-,88605288,Ap3b2,Q9JME5;Q3UUE3,AP-3 complex subunit beta-2;Adapter-related protein complex 3 subunit beta-2;Adaptor protein complex AP-3 beta-2 subunit;AP-3 complex beta-2 subunit;Beta3B-adaptin;Clathrin assembly protein complex 3 beta-2 large chain;Putative uncharacterized protein
IPI00649874;IPI00226764;IPI00622046;IPI00875018,-0.01,0.38,0.09,0.02,-0.33,-0.52,-0.08,0.33,,0.56,-0.27,9,9,1,9.1,1.54E-33,153.4,4,-,154357235,Plch2;Plcl4,A2AP18-4;A2AP18;A2AP18-1,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase eta-2;Phosphoinositide phospholipase C;Phospholipase C-eta-2;Phosphoinositide phospholipase C-like 4"
IPI00227035;IPI00757808;IPI00608013;IPI00762632,-0.08,-0.02,-0.15,-0.01,-0.01,0.05,0.06,-0.1,,0.56,0.06,5,5,4,12.1,1.23E-21,57.072,2,-,151416285,Snph;Kiaa0374,Q80U23-2;Q80U23;Q80U23-1;Q80U23-3,Syntaphilin
IPI00874549;IPI00403890;IPI00845696;IPI00881311;IPI00127264;IPI00856417,-0.05,0.27,0.19,0.16,0.01,-0.07,-0.05,0.19,,0.56,-0.12,24,24,4,50.2,1.43E-221,61.629,12,+,112997090,Klc1;Kns2,Q5UE59;Q7M6Z8;Q7M702;Q8CD76;Q7M6Z9;Q7TNF4,Kinesin light chain-1;Kinesin light chain 1F;Kinesin light chain 1B;Putative uncharacterized protein;Kinesin light chain 1E;Kinesin light chain 1
IPI00355368;IPI00280252;IPI00110855,,0.19,0.47,0.51,,0.18,0.26,0.26,,0.56,-0.16,2,2,2,2.8,1.33E-27,113.33,13,-,107584520,Ipo11;Ranbp11,Q8K2V6-2;Q8K2V6;Q8K2V6-1;Q8BXQ4;Q9CY51,Importin-11;Ran-binding protein 11;Putative uncharacterized protein
IPI00473603,-0.11,0.09,0.12,0.1,-0.18,,-0.15,0.07,,0.56,-0.14,14,1,1,40.7,4.66E-111,43.89,2,+,69699637,Ssb;RP23-273G23.1-005,A2AV01;Q9CYB9,Sjogren syndrome antigen B;Putative uncharacterized protein
IPI00381495,-0.24,-0.21,-0.21,-0.31,-0.11,-0.21,-0.27,0.25,,0.56,0.16,3,3,3,7,5.43E-18,52.938,,,,,,
IPI00123007;IPI00677102;IPI00466822;IPI00461413;IPI00469629;IPI00625397;IPI00874922,0,0.05,0.12,-0.04,-0.07,-0.05,-0.04,0.06,,0.56,-0.06,7,7,7,61.6,1.10E-35,14.463,1,+,39424757,Rpl31;mCG_126194,P62900;Q58DZ1;Q5M9K9;Q9CY93,"60S ribosomal protein L31;Rpl31 protein;Putative uncharacterized protein;Ribosomal protein L31;MCG126194, isoform CRA_a"
IPI00466436;IPI00831701;IPI00130284;IPI00652970;IPI00831170;IPI00830382;IPI00403314;IPI00830952;IPI00831491;IPI00831499;IPI00831242;IPI00928154;IPI00919150,,-0.05,-0.07,0.03,-0.03,-0.03,0.12,0.12,,0.56,0.08,8,7,7,7.5,3.65E-23,132.39,8,+,12873827,Mcf2l;Dbs;OST;mKIAA0362,Q6PDM6;Q8C7Z1;Q64096;Q3UHQ9;Q9WVD6;Q003U3;Q80U26,Mcf.2 transforming sequence-like;Putative uncharacterized protein;Guanine nucleotide exchange factor DBS;DBL's big sister;MCF2-transforming sequence-like protein;Ost beta2 isoform BI domain;Guanine nucleotide exchange factor OSTIII;MKIAA0362 protein
IPI00131028;IPI00875081;IPI00776404;IPI00282747;IPI00775857;IPI00776311;IPI00271271,0.06,-0.12,-0.24,-0.19,-0.07,0.08,0.14,-0.15,,0.56,0.12,7,7,7,13.6,3.67E-51,75.54,X,+,68617935,Mtmr1,Q9Z2C4;Q8BQ73;Q8C489;Q8CIU4,Myotubularin-related protein 1;Putative uncharacterized protein;Myotubularin-related 1 isoform E
IPI00551236;IPI00649157;IPI00648723,0.06,-0.05,-0.04,-0.02,0.09,-0.19,-0.23,-0.11,,0.56,-0.1,13,13,2,75.2,1.57E-121,17.274,4,+,134024314,Stmn1;Lag;Lap18;Pr22;mCG_12955,P54227;Q545B6;Q8C2H3;Q91XT3;Q9CXQ8;Q9CYU5;Q9DCP3,Stathmin;Phosphoprotein p19;Leukemia-associated phosphoprotein p18;Oncoprotein 18;pp17;Prosolin;Metablastin;Protein Pr22;Leukemia-associated gene protein
IPI00222008;IPI00874479,-0.11,0.78,0.69,0.34,-0.13,-0.2,-0.08,0.63,,0.56,-0.37,5,5,5,19.5,1.46E-10,44.547,4,+,125735809,1810007P19Rik;OSCP1;Oscp1;RP23-140F18.3-001;mCG_10878,A0ZV96;Q8BHW2;A2A8Y5,Organic solute carrier protein 1 isoform;Protein OSCP1;Novel protein similar to oxidored-nitro domain-containing protein NOR1 (Homo sapiens);Organic solute carrier 1;RIKEN cDNA 1810007P19
IPI00221616,0.21,0.1,0.01,0.14,0,0.05,0.03,0.12,,0.56,-0.06,7,6,6,58.9,7.53E-86,20.082,12,+,70473153,Arf6,P62331;Q3U0D7,ADP-ribosylation factor 6;Putative uncharacterized protein
IPI00221621,,0.05,0.2,-0.08,-0.24,-0.26,-0.05,0.09,,0.56,-0.17,7,7,7,17.4,2.77E-41,71.459,8,+,13757690,Cdc16;Anapc6;mCG_3710,Q8R349;Q3TI84;Q3TZ92;Q99JU8,"Cell division cycle protein 16 homolog;Anaphase-promoting complex subunit 6;Cyclosome subunit 6;Putative uncharacterized protein;CDC16 cell division cycle 16 homolog (S. cerevisiae), isoform CRA_e;Cdc16 protein"
IPI00120826;IPI00458428,0.12,0.16,0.2,0.1,-0.11,0.19,0.02,0.12,,0.56,-0.09,3,3,3,15.1,4.16E-08,21.064,3,-,65183586,Ssr3;mCG_13448,Q9DCF9-1;Q9DCF9;Q3TS69;Q4FK79;Q9DCF9-2,"Translocon-associated protein subunit gamma;Signal sequence receptor subunit gamma;Putative uncharacterized protein;Ssr3 protein;Signal sequence receptor, gamma, isoform CRA_a"
IPI00129792;IPI00882353,-0.11,0.09,0.17,-0.03,-0.11,-0.2,-0.2,0.12,,0.56,-0.13,6,4,4,20,1.45E-46,57.922,3,-,68876143,Kpna4;Qip1;mCG_4359,O35343;Q3UGH8;Q4FJX1,Importin subunit alpha-4;Karyopherin subunit alpha-4;Importin alpha Q1;Putative uncharacterized protein;Kpna4 protein;Karyopherin (Importin) alpha 4
IPI00556733;IPI00556868;IPI00467221;IPI00556763;IPI00556798,,0.63,0.75,0.33,-0.06,0.08,0.06,0.85,,0.56,-0.34,3,3,3,6.9,2.11E-08,76.136,10,-,76753471,Adarb1;Adar2;Red1;mCG_3378,Q91ZS8-3;Q91ZS8;Q91ZS8-1;Q3UHM7;Q91ZS8-2;Q3UUK2;Q91ZS8-4;Q91ZS8-5,"Double-stranded RNA-specific editase 1;dsRNA adenosine deaminase;RNA-editing deaminase 1;RNA-editing enzyme 1;Putative uncharacterized protein;Adenosine deaminase, RNA-specific, B1, isoform CRA_d"
IPI00606892;IPI00918099,0.08,0.17,0.2,-0.26,0.12,0.19,0.48,0.11,,0.56,0.18,7,7,1,23.3,9.33E-94,49.452,,,,Wipf3;Cr16,P0C7L0-1;P0C7L0,WAS/WASL-interacting protein family member 3;Corticosteroids and regional expression protein 16 homolog
IPI00352475,-0.18,-0.06,-0.05,-0.17,-0.17,-0.16,-0.19,-0.14,,0.56,-0.05,8,8,8,49.7,1.52E-275,20.605,5,-,145890526,Pdap1;mCG_17262,Q3UHX2;B2RTB0;Q1WWJ8,28 kDa heat- and acid-stable phosphoprotein;PDGF-associated protein;PDGFA-associated protein 1;MCG17262;PDGFA associated protein 1;Pdap1 protein
IPI00111149,0.13,0.26,0.19,0.09,0.03,-0.05,-0.17,0.3,,0.56,-0.14,8,8,8,26.8,1.99E-47,40.068,16,-,38445488,Adprh;Arh1;mCG_129090,P54923;Q3U5N4;Q9CTF5,"[Protein ADP-ribosylarginine] hydrolase;ADP-ribose-L-arginine cleaving enzyme;Putative uncharacterized protein;ADP-ribosylarginine hydrolase, isoform CRA_a"
IPI00133977;IPI00876202,-0.01,0.13,0.08,0.07,0.06,-0.09,-0.08,0.1,,0.56,-0.07,6,6,5,19.2,1.07E-121,47.361,7,-,150699484,Nap1l4;mCG_129001,B7ZNL2;Q8C1W9;Q78ZA7;A2RSB1,"Nap1l4 protein;Nucleosome assembly protein 1-like 4, isoform CRA_b;Putative uncharacterized protein;Nucleosome assembly protein 1-like 4;Nucleosome assembly protein 1-like 4, isoform CRA_a"
IPI00474873;IPI00460032;IPI00875065,-0.35,0.5,0.09,0.22,-0.32,-0.56,-0.25,0.27,,0.55,-0.33,4,4,4,4.1,6.77E-07,151.86,13,-,24104528,Lrrc16a;Carmil;Lrrc16;RP23-462P2.7-003,Q6EDY6-1;Q6EDY6;Q6EDY6-3;Q9CTA1,Leucine-rich repeat-containing protein 16A;CARMIL homolog;Leucine rich repeat containing 16A;Putative uncharacterized protein
IPI00223047,0.07,0.53,0.33,0.26,0.13,0.08,0.08,0.31,,0.55,-0.15,11,11,11,25.6,5.24E-91,63.691,10,-,83989050,Ckap4,Q8BMK4,Cytoskeleton-associated protein 4;63 kDa membrane protein;p63
IPI00553357;IPI00828748;IPI00321646;IPI00874955;IPI00648871;IPI00648265;IPI00228092;IPI00649083,0.04,0.04,0.09,0.03,-0.02,-0.02,-0.17,0.11,,0.55,-0.08,20,20,20,13.8,2.85E-84,203.93,4,-,58812927,Ecm29;Kiaa0368;AI314180;RP23-211P15.1;RP23-211P15.1-004;RP23-211P15.1-001,Q6PDI5-2;Q6PDI5;A2ALV7;A2ALW0;Q8C9Q5;Q6PDI5-1,Proteasome-associated protein ECM29 homolog;Novel protein containing 10 HEAT domains;Putative uncharacterized protein
IPI00750491;IPI00268901;IPI00308854,0.1,0.06,-0.08,0.09,0.01,-0.02,0.02,-0.17,,0.55,-0.08,5,5,3,6.4,5.21E-79,115.71,1,-,192573908,Rps6kc1,Q8BLK9-1;Q8BLK9;Q8BLK9-3;Q8BLK9-2,Ribosomal protein S6 kinase delta-1;52 kDa ribosomal protein S6 kinase
IPI00222972;IPI00673974,-0.17,-0.02,0.03,-0.08,-0.11,-0.28,-0.3,0,,0.55,-0.11,5,5,5,34.3,1.24E-44,12.758,13,+,95558898,Tbca;mCG_122050,P48428;Q5I0U7,Tubulin-specific chaperone A;Tubulin-folding cofactor A;TCP1-chaperonin cofactor A;Putative uncharacterized protein;Tubulin cofactor A;MCG122050
IPI00136207;IPI00625592;IPI00653059,,0.69,0.66,0.02,0.04,,0.34,-0.19,,0.55,-0.39,7,7,7,4.1,2.12E-11,217.17,11,-,69547912,Polr2a;Rpii215;Rpo2-1;RPB1,P08775;O08847,DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase II subunit A;DNA-directed RNA polymerase III largest subunit;DNA-directed RNA polymerase
IPI00124614,-0.08,0.15,0.19,,-0.02,,-0.03,-0.07,,0.55,-0.13,5,5,5,12,1.16E-27,70.095,9,+,111174392,Epm2aip1;Kiaa0766,Q8VEH5,EPM2A-interacting protein 1;Laforin-interacting protein
IPI00672180,,0.26,0.28,0.16,0.09,-0.1,-0.17,0.41,,0.55,-0.18,8,8,8,9.1,9.81E-14,124.31,2,-,168006465,Adnp;Dpm1;RP23-391M18.2-001;mKIAA0784,Q9Z103;A2BDX0;Q3UYC8;Q5BL11;Q5RKY4;Q6ZQ47;Q8BNY2,Activity-dependent neuroprotector homeobox protein;Activity-dependent neuroprotective protein;Putative uncharacterized protein;Adnp protein;MKIAA0784 protein
IPI00133920,0.01,0.02,-0.01,-0.06,0.02,0.04,-0.02,0.07,,0.55,0.04,7,7,7,30.1,4.44E-214,35.565,6,-,113678046,Sec13;Sec13l1,Q9D1M0,Protein SEC13 homolog;SEC13-related protein;SEC13-like protein 1
IPI00830849;IPI00751738;IPI00830151;IPI00756446;IPI00750446;IPI00953737;IPI00330332,0.01,0.23,0.18,0.13,0.02,-0.05,-0.02,0.21,,0.55,-0.1,12,12,12,17.3,2.64E-90,118.21,,,,,,
IPI00124771;IPI00850430,0,0.11,0.14,0.15,0.11,0.17,0.14,0.18,,0.55,0.05,15,15,15,49.6,4.59E-240,39.632,10,-,90579538,Slc25a3,Q8VEM8;Q3THU8;Q3U995;Q3UB63,"Phosphate carrier protein, mitochondrial;Phosphate transport protein;Solute carrier family 25 member 3;Putative uncharacterized protein"
IPI00650017;IPI00751263;IPI00341317;IPI00828879;IPI00918248,-0.1,-0.03,-0.1,0.07,0.02,-0.02,0.15,-0.02,,0.55,0.07,3,3,3,19,6.57E-32,18.655,4,-,41464724,2310028H24Rik;RP23-100C7.5-003;mCG_9749;RP23-100C7.5-001;RP23-100C7.5-005,A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2,"2310028H24Rik protein;Likely ortholog of H. sapiens chromosome 9 open reading frame 25 (C9orf25);MCG9749, isoform CRA_a;Putative uncharacterized protein;MCG9749, isoform CRA_b;Uncharacterized protein C9orf25 homolog"
IPI00112251;IPI00662501,-0.13,-0.05,0.03,-0.05,0.01,-0.01,-0.02,-0.01,,0.55,0.04,11,8,7,56.9,0.00E+00,50.418,8,+,125935453,Tubb3,Q9ERD7;Q9CRT0,Tubulin beta-3 chain;Putative uncharacterized protein
IPI00113703,0.08,1.19,1.09,0.71,-0.14,-0.21,-0.08,1.24,,0.55,-0.56,6,6,6,11.9,5.11E-53,51.789,12,+,103793186,Chga,P26339;Q3UN28,Chromogranin-A;Pancreastatin;Beta-granin;WE-14;Putative uncharacterized protein
IPI00466610,-0.12,0.22,0.15,-0.03,-0.14,-0.27,-0.26,0.19,,0.55,-0.17,20,20,16,45.8,1.43E-171,43.474,9,-,64033600,Map2k1;Mek1;Prkmk1;mCG_12792,P31938;Q3TMJ8;Q3TMW4;Q3U3F4;Q3UK05;Q9JJE1,"Dual specificity mitogen-activated protein kinase kinase 1;ERK activator kinase 1;MAPK/ERK kinase 1;Putative uncharacterized protein;Mitogen activated protein kinase kinase 1;Brain cDNA, clone MNCb-1208, similar to Mus musculus mitogen activated protein kinase kinase 1 (Map2k1), mRNA"
IPI00649138;IPI00229432;IPI00762029;IPI00673476;IPI00650023,0.01,-0.05,-0.09,0.07,-0.03,-0.06,-0.19,-0.05,,0.55,-0.07,8,8,8,3.2,7.08E-14,333.22,11,-,106894397,Bptf;RP23-317F9.3-001;RP23-317F9.3-002;Falz,A2A654;A2A655;Q3TMJ3;Q6P9L3;Q8C473;Q8K092;Q8VDN7,Bromodomain PHD finger transcription factor;Putative uncharacterized protein;Bptf protein
IPI00474637;IPI00915054;IPI00775915;IPI00340103;IPI00849598;IPI00403956;IPI00112024;IPI00880708;IPI00475155;IPI00130596,0.07,0.05,0.05,0.09,0.1,0.08,0.06,0.1,,0.55,0.02,9,9,6,46.7,9.38E-105,24.604,X,+,71516196,Rpl10;Qm;Rpl10l,Q6ZWV3;Q3THJ6;P86048,60S ribosomal protein L10;Protein QM homolog;Putative uncharacterized protein;60S ribosomal protein L10-like
IPI00229517,0.78,0.54,0.55,0.57,1.11,0.68,0.63,0.68,,0.55,0.16,4,4,4,46.7,7.46E-16,14.866,15,+,78757172,Lgals1;Gbp,P16045,Galectin-1;Lectin galactoside-binding soluble 1;Beta-galactoside-binding lectin L-14-I;S-Lac lectin 1;Galaptin;14 kDa lectin
IPI00828488;IPI00853914;IPI00622847;IPI00405058;IPI00890022,-0.09,0.43,0.41,0.13,-0.12,-0.17,-0.15,0.38,,0.55,-0.24,16,16,16,57.8,4.87E-255,37.402,6,-,51410433,Hnrnpa2b1;Hnrpa2b1,O88569-1;O88569;O88569-2;O88569-3;B7ZP22,Heterogeneous nuclear ribonucleoproteins A2/B1;hnRNP A2 / hnRNP B1;Heterogeneous nuclear ribonucleoprotein A2/B1
IPI00119667,-0.03,-0.04,-0.05,-0.05,-0.1,-0.02,-0.06,-0.08,,0.55,-0.02,23,11,11,72.8,0.00E+00,50.454,2,-,180882398,Eef1a2;Eef1al;Stn;RP23-401L17.3-001,P62631;B7ZBW3,Elongation factor 1-alpha 2;eEF1A-2;Statin S1;Elongation factor 1-alpha
IPI00330263;IPI00755907,,0.34,0.3,0.21,0.04,,-0.18,0.33,,0.55,-0.22,4,4,4,3.5,1.37E-32,170.29,2,-,113926911,Aqr;Kiaa0560;RP23-230H3.4-001;mCG_19186;RP23-230H3.4-004,Q8CFQ3;A2AQA6;A2AQA7,"Intron-binding protein aquarius;Aquarius;Aquarius, isoform CRA_a"
IPI00319509,0.1,1.33,1.12,0.95,0,0.31,1.04,0.33,,0.55,-0.46,26,26,26,41.6,0.00E+00,109.65,7,-,86966689,Anpep;Lap-1;Lap1,P97449;Q3TB69;Q3UP74,Aminopeptidase N;Alanyl aminopeptidase;Microsomal aminopeptidase;Aminopeptidase M;Membrane protein p161;Putative uncharacterized protein
IPI00885399;IPI00474631;IPI00785305,0.2,-0.14,-0.29,-0.18,0.01,-0.3,-0.4,-0.58,,0.55,-0.21,11,11,11,8,3.99E-30,197.41,5,+,64041473,Kiaa1239;3110047P20Rik,Q6P5U7;Q8CC18;Q8CC58,Leucine-rich repeat and WD repeat-containing protein KIAA1239;Putative uncharacterized protein
IPI00119305,0.06,0.09,0.14,0.05,0.04,0.01,-0.06,0.13,,0.55,-0.06,15,15,7,57.4,0.00E+00,43.698,10,-,127995699,Pa2g4;Ebp1;Plfap;mCG_18690,P50580;Q05BN2;Q3TGU7;Q3UMW2,Proliferation-associated protein 2G4;Proliferation-associated protein 1;Protein p38-2G4;Mpp1;IRES-specific cellular trans-acting factor 45 kDa;Pa2g4 protein;Putative uncharacterized protein;Proliferation-associated 2G4
IPI00467833,-0.16,-0.16,-0.14,-0.15,-0.12,-0.15,-0.17,-0.11,,0.55,0.02,17,17,17,76.6,0.00E+00,32.191,6,-,124760734,Tpi1;Tpi,P17751,Triosephosphate isomerase;Triose-phosphate isomerase
IPI00114368;IPI00880617,0.1,0.04,0,0.09,-0.49,,0,-0.03,,0.55,-0.23,3,3,3,22.3,1.60E-13,24.74,3,+,97705150,Sec22b;Sec22l1,O08547;Q3UZ06,Vesicle-trafficking protein SEC22b;SEC22 vesicle-trafficking protein homolog B;SEC22 vesicle-trafficking protein-like 1;ERS24;ERS-24;Putative uncharacterized protein
IPI00319858;IPI00653189,-0.09,0,0.06,-0.05,0.1,0.01,-0.04,0.1,,0.55,0.06,5,5,5,10.5,6.24E-35,61.075,3,-,63737429,Slc33a1;Acatn,Q99J27;Q3UXZ5,Acetyl-coenzyme A transporter 1;Solute carrier family 33 member 1;Putative uncharacterized protein
IPI00127206,0.01,-0.14,0.04,-0.1,0.28,0.07,-0.08,0,,0.55,0.11,18,17,17,73.9,0.00E+00,39.507,4,-,49549297,Aldob;Aldo2;RP23-34B24.5-001;mCG_14281,Q91Y97;Q3TJ66;Q3UER1,Fructose-bisphosphate aldolase B;Liver-type aldolase;Aldolase 2;Fructose-bisphosphate aldolase
IPI00320208,0.07,-0.02,-0.05,-0.03,-0.05,-0.01,-0.03,-0.1,,0.55,-0.04,11,11,10,49.3,3.24E-242,24.693,1,+,63223739,Eef1b;Eef1b2,O70251,Elongation factor 1-beta
IPI00757586;IPI00653458,-0.09,0.02,0.07,0.14,-0.03,-0.05,0.05,-0.29,,0.55,-0.11,4,4,4,6.1,1.45E-16,110.29,15,+,81575278,Zc3h7b;Scrg3;Zc2h7b;mKIAA1031,Q3TZP6;Q3UGE6;Q6ZPZ8,Putative uncharacterized protein;MKIAA1031 protein
