Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00117614,,0.1,,,,1,1,1,17.6,1.56E-17,7,8,+,96676644,Mt3,P28184;Q3USP9,Metallothionein-3;Metallothionein-III;Growth inhibitory factor;Metallothionein
IPI00117687,,,,,,2,2,2,16.8,3.45E-08,14.6,12,+,4824414,Sf3b14,P59708,Pre-mRNA branch site protein p14;SF3B 14 kDa subunit
IPI00117689;IPI00651975;IPI00654405,0.13,0.48,0.19,-0.01,-0.02,10,10,10,32.1,0.00E+00,44,11,-,100818050,Ptrf,O54724,Polymerase I and transcript release factor
IPI00117705;IPI00410819,0,0.03,0.08,-2.72,0.14,5,5,5,15.2,4.21E-52,49,4,+,137860775,Ddost;mCG_14545;RP23-25C1.4-001,O54734;Q3UC51;Q3UG68;Q8C4P7,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit;Putative uncharacterized protein;Dolichyl-di-phosphooligosaccharide-protein glycotransferase, isoform CRA_c;Dolichyl-di-phosphooligosaccharide-protein glycotransferase"
IPI00117731;IPI00117733;IPI00226953,-0.14,-0.18,-0.2,-0.26,-0.09,32,20,1,29.6,5.52E-206,128.3,6,-,119520822,Erc1;Cast2;Kiaa1081;Rab6ip2,Q99MI1-1;Q99MI1;Q99MI1-2,ELKS/RAB6-interacting/CAST family member 1;RAB6-interacting protein 2;CAZ-associated structural protein 2
IPI00117741;IPI00752833;IPI00466878;IPI00357757;IPI00117761;IPI00331417,1.2,2.56,-0.02,0.18,0.14,14,14,12,39.9,2.81E-29,57.8,4,-,96294123,Cyp2j5;RP23-120E8.3-001;mCG_8008,O54749;Q3TNC5;Q3UEF7,"Cytochrome P450 2J5;CYPIIJ5;Arachidonic acid epoxygenase;Cytochrome P450, family 2, subfamily j, polypeptide 5;Putative uncharacterized protein"
IPI00117754;IPI00653769,0.12,0.08,-0.06,,0.12,6,6,6,19.4,1.20E-26,42.1,4,+,155366981,Sdf4;Cab45,Q61112-1;Q61112;Q61112-2,45 kDa calcium-binding protein;Stromal cell-derived factor 4
IPI00117811,-0.04,-0.07,0.05,0.1,0.07,31,31,31,33,0.00E+00,135.1,10,-,80169723,Ap3d1;Ap3d,O54774;Q05CQ3;Q3U1P6;Q3U237;Q3UR54;Q80T04;Q80UA6;Q8CGH7,AP-3 complex subunit delta-1;Adapter-related protein complex 3 subunit delta-1;AP-3 complex subunit delta;Delta-adaptin;Ap3d1 protein;Putative uncharacterized protein;Adaptor-related protein complex AP-3 delta subunit;Truncated adaptor-related protein complex AP-3 delta subunit
IPI00117817;IPI00831415,,,,,-0.13,3,3,3,9.6,2.15E-41,60.2,19,-,6465196,Slc22a12;Urat1,Q8CFZ5,Solute carrier family 22 member 12;Urate anion exchanger 1;Renal-specific transporter
IPI00117829;IPI00857970;IPI00760070;IPI00856199,0.01,0.08,0.26,-0.01,-0.17,7,7,6,51.7,4.82E-93,20.5,6,+,17256345,Cav1;Cav,P49817-1;P49817;P49817-2,Caveolin-1
IPI00117832,,,,,,2,2,2,34.6,2.14E-35,14.9,11,-,54640370,Lyrm7,Q9DA03;B9EIE8,LYR motif-containing protein 7;LYR motif containing 7
IPI00117893;IPI00409959,,,,,,1,1,1,8,2.30E-03,21.2,6,-,135259802,Pbp2;Pebp2,Q8VIN1-1;Q8VIN1;Q8VIN1-2,Phosphatidylethanolamine-binding protein 2
IPI00117896,-0.15,0,-0.09,-0.04,0.14,11,8,8,46.3,9.78E-173,30,2,+,153567086,Mapre1;RP23-244H7.2-001;mCG_10464,Q61166;Q3U4H0,"Microtubule-associated protein RP/EB family member 1;APC-binding protein EB1;End-binding protein 1;Microtubule-associated protein, RP/EB family, member 1;Putative uncharacterized protein"
IPI00117910;IPI00831115,-0.15,0.01,0.05,-0.26,-0.27,9,9,9,68.7,0.00E+00,21.8,8,+,87493486,Prdx2;Tdpx1;Tpx,Q61171;Q5M9N9,Peroxiredoxin-2;Thioredoxin peroxidase 1;Thioredoxin-dependent peroxide reductase 1;Thiol-specific antioxidant protein;Prdx2 protein
IPI00117932;IPI00350767;IPI00350768;IPI00276051;IPI00607936,,,,,,3,3,3,3.2,7.46E-07,146.2,9,+,56934388,Sin3a;mKIAA4126,Q60520-1;Q60520;Q570Z7;Q60520-3;Q60520-4;Q60520-2;Q3UVS7;Q60520-5,Paired amphipathic helix protein Sin3a;Transcriptional corepressor Sin3a;Histone deacetylase complex subunit Sin3a;MKIAA4126 protein;Putative uncharacterized protein
IPI00117944;IPI00857415;IPI00858161,-0.1,-0.13,-0.13,-0.07,0.19,7,7,7,21.2,1.70E-49,44.1,7,-,54144746,Tsg101;mCG_123182;CC2,Q61187;Q3UCW0;Q3UK08;Q6LBE4,Tumor susceptibility gene 101 protein;ESCRT-I complex subunit TSG101;Putative uncharacterized protein;MCG123182;CC2 protein
IPI00117957,,,,0.38,-1.05,3,3,3,8.8,1.52E-33,42.6,13,+,49639856,Aspn;mCG_122884,Q99MQ4;A6H6K1;Q9CTL6,Asporin;Aspn protein;Putative uncharacterized protein
IPI00117978,0.03,0.09,-0.1,-0.06,-0.17,6,6,6,60.4,3.50E-135,19.5,8,+,123192190,Cox4i1;Cox4;Cox4a;mCG_21200,P19783;A2RSV8,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial;Cytochrome c oxidase subunit IV isoform 1;Cytochrome c oxidase polypeptide IV;Cytochrome c oxidase subunit IV isoform 1, isoform CRA_b"
IPI00117981;IPI00885539;IPI00831653,,,,,,2,2,2,10.1,5.79E-05,46.9,5,+,137994783,Actl6b;Actl6;Arpna;Baf53b,Q99MR0,Actin-like protein 6B;53 kDa BRG1-associated factor B;Actin-related protein Baf53b;ArpN-alpha
IPI00118011,0.21,0.26,,-1.29,0.37,7,7,7,9.6,2.25E-44,100.8,3,+,135148578,Manba;Bmn,Q8K2I4,Beta-mannosidase;Lysosomal beta A mannosidase;Manase
IPI00118014;IPI00880244;IPI00880380;IPI00895156;IPI00882032,0.1,-0.12,-0.1,,0.12,3,3,1,20.6,3.34E-53,22.2,16,+,13940788,Mpv17l,Q99MS3-1;Q99MS3;Q99MS3-3,Mpv17-like protein
IPI00118018,,,,0.02,,4,4,4,3.3,2.23E-22,184.8,19,-,5707891,Ehbp1l1,Q99MS7-1;Q99MS7,EH domain-binding protein 1-like protein 1;Tangerin
IPI00118022;IPI00876402,0.03,-0.11,-0.06,,0.03,6,6,6,55.6,2.44E-63,17,7,+,17323793,Ap2s1;Ap17;Claps2;mCG_50001,P62743;Q3UJ76;Q7TT10,"AP-2 complex subunit sigma-1;Adapter-related protein complex 2 sigma-1 subunit;Sigma2-adaptin;Sigma-adaptin 3b;Plasma membrane adaptor AP-2 17 kDa protein;Clathrin assembly protein 2 small chain;Clathrin coat assembly protein AP17;Clathrin coat-associated protein AP17;Putative uncharacterized protein;Adaptor-related protein complex 2, sigma 1 subunit, isoform CRA_a;Adaptor-related protein complex 2, sigma 1 subunit"
IPI00118031,,0.08,,,,1,1,1,3.5,3.45E-04,43.2,7,+,97575376,Ccdc89;Boip,Q9DA73,Coiled-coil domain-containing protein 89;Bc8 orange-interacting protein
IPI00118059;IPI00608017,,-0.21,,,-0.15,10,10,10,34.9,1.39E-83,52.6,11,-,60602399,Shmt1;Shmt;RP23-278I21.7-001,P50431;Q8R0X9;Q9CWR5,"Serine hydroxymethyltransferase, cytosolic;Glycine hydroxymethyltransferase;Serine hydroxymethyltransferase"
IPI00118068;IPI00169481,,,,,-1.13,8,8,5,39,1.32E-57,37.2,13,-,4131866,Akr1c18;mCG_1734,Q8K023-1;Q8K023;Q3U538;Q8K023-2,"Aldo-keto reductase family 1 member C18;20-alpha-hydroxysteroid dehydrogenase;Putative uncharacterized protein;Aldo-keto reductase family 1, member C18, isoform CRA_a"
IPI00118069;IPI00462790,0.08,0.08,0.22,,0.7,5,5,5,22.8,1.39E-42,32.9,3,+,121426527,F3;Cf-3;Cf3,P20352;Q8R3Q1;Q6RFS9,Tissue factor;Coagulation factor III;F3 protein
IPI00118130;IPI00127856;IPI00134514;IPI00923701,0.78,,,2.65,1.53,4,4,4,26.1,2.26E-10,23.9,4,+,63005600,Orm1;Agp1;Orm-1;Orm2;Agp-2;Orm-2,Q60590;Q60839;Q61613;Q91X23;P07361,Alpha-1-acid glycoprotein 1;Orosomucoid-1;Alpha-1-acid glycoprotein-2;Alpha-1-acid glycoprotein (AGP);Orm1 protein;Orosomucoid 1;Alpha-1-acid glycoprotein 2;Orosomucoid-2
IPI00118153;IPI00129294;IPI00624227;IPI00475071,0.19,0.58,0.23,-0.09,,14,14,14,87.6,2.35E-252,20.9,7,-,56085777,Csrp3;Clp;Mlp;mCG_142477,P50462;Q545C7,"Cysteine and glycine-rich protein 3;LIM domain protein, cardiac;Muscle LIM protein;Putative uncharacterized protein"
IPI00118158,,-0.1,0.35,,,5,5,5,6.8,4.57E-36,104.2,17,+,88071912,Msh2;mCG_15888,P43247;Q3TZI5;Q80V79,DNA mismatch repair protein Msh2;MutS protein homolog 2;Putative uncharacterized protein;MutS homolog 2 (E. coli)
IPI00118173;IPI00666968;IPI00649920,,,,-0.38,,1,1,1,1.4,1.32E-04,84.5,11,+,101191913,Aoc3;Vap1;Aoc2;RP23-281C18.16-002,O70423-1;O70423;O70423-2;A2A4I8,"Membrane primary amine oxidase;Copper amine oxidase;Semicarbazide-sensitive amine oxidase;Vascular adhesion protein 1;Amine oxidase, copper containing 3"
IPI00118196;IPI00894830,0.06,-0.06,0.01,-0.22,-0.15,5,5,5,12.5,4.05E-14,48.2,2,+,127413161,Mrps5;RP23-105O13.7-001;mCG_3033,Q99N87;A2AHS8;Q3U2U4,"28S ribosomal protein S5, mitochondrial;S5mt;MRP-S5;Mitochondrial ribosomal protein S5;Mitochondrial ribosomal protein S5, isoform CRA_b;Putative uncharacterized protein"
IPI00118205,-0.1,0.05,0.07,-0.43,0.59,10,10,10,59.9,6.72E-170,32.1,1,-,43179919,Fhl2;mCG_113685,O70433;Q543D7;Q8VDP9,"Four and a half LIM domains protein 2;Skeletal muscle LIM-protein 3;Putative uncharacterized protein;Four and a half LIM domains 2, isoform CRA_a;Four and a half LIM domains 2"
IPI00118227,,0.16,,,,2,2,2,18.9,6.45E-69,15.9,11,+,94515105,Mrpl27;EG622268;RP23-290B5.4-001;mCG_1801;mCG_50294,Q99N92;Q5SUY2,"39S ribosomal protein L27, mitochondrial;L27mt;MRP-L27;Mitochondrial ribosomal protein L27;MCG50294;Mitochondrial ribosomal protein L27, isoform CRA_a;Mitochondrial ribosomal protein L27, isoform CRA_b"
IPI00118230,,0.15,,-0.28,,4,4,4,18.7,2.75E-09,28.8,19,+,11844875,Mrpl16,Q99N93;Q9CSU4,"39S ribosomal protein L16, mitochondrial;Putative uncharacterized protein"
IPI00118237;IPI00720216,-0.04,0.05,-0.22,-0.06,-0.18,8,8,8,36,1.25E-119,37.6,5,+,96638512,Mrpl1,Q99N96;Q9CUL8;Q9D3F3,"39S ribosomal protein L1, mitochondrial;Putative uncharacterized protein"
IPI00118238,-0.14,0,-0.2,-0.03,-0.03,13,13,13,9.1,4.83E-108,241.1,18,-,32118892,Myo7b,Q99MZ6;B9EHR5,Myosin-VIIb;Myosin VIIB
IPI00118279,0.06,-0.18,,,-0.62,5,5,5,11.4,6.52E-12,52.6,10,-,124663520,Slc16a7;Mct2;mCG_21748,O70451;A0JNU2;Q149G3;Q149G4;Q4FK61,"Monocarboxylate transporter 2;Solute carrier family 16 member 7;Slc16a7 protein;Solute carrier family 16 (Monocarboxylic acid transporters), member 7, isoform CRA_a"
IPI00118286;IPI00844680,-0.11,,,,,4,4,4,23,1.16E-10,27.7,4,-,133156471,Sfn;Mkrn3;RP23-137L22.11-001;mCG_119703;Mme1,O70456;Q3TEZ1;Q9JJ20,14-3-3 protein sigma;Stratifin;Putative uncharacterized protein
IPI00118316;IPI00895002;IPI00895363,-0.01,-0.04,-0.04,0.01,-0.08,52,52,52,51.3,0.00E+00,141.4,2,+,90958301,Mybpc3;RP23-20F9.3-002;RP23-20F9.3-001,O70468;A9JR55;B2FDF4;Q3TF37;Q3UIK0;A2AGQ1,"Myosin-binding protein C, cardiac-type;Cardiac MyBP-C;C-protein, cardiac muscle isoform;Mybpc3 protein;Myosin binding protein C, cardiac;Putative uncharacterized protein"
IPI00118337;IPI00115490;IPI00410759,,0.44,,,,1,1,1,2.7,9.35E-06,41.9,16;X,+,90900202,Pcyt1b;RP23-369L6.1-001;mCG_5463;Pcyt1a;Ctpct;Pcyt1;RP23-369L6.1-003,Q811Q9-1;Q811Q9;A2A450;P49586;Q811Q9-2;A2A451,"Choline-phosphate cytidylyltransferase B;Phosphorylcholine transferase B;CTP:phosphocholine cytidylyltransferase B;CCT-beta;Phosphate cytidylyltransferase 1, choline, beta isoform;Choline-phosphate cytidylyltransferase A;Phosphorylcholine transferase A;CTP:phosphocholine cytidylyltransferase A;CCT-alpha"
IPI00118344;IPI00881216;IPI00881557;IPI00886102,-0.3,,0.63,0.62,0.08,10,10,10,23.3,7.61E-50,54.8,5,-,65804441,Ugdh;mCG_10270,O70475;Q3TI06;Q3TJ71;Q3TJE8;Q3TS38;Q3UIZ1,UDP-glucose 6-dehydrogenase;Putative uncharacterized protein;UDP-glucose dehydrogenase
IPI00118380;IPI00848800,0.14,-0.25,0.09,0.41,-0.14,7,6,6,5.9,3.10E-32,165.4,16,-,9577803,Grin2a,P35436,Glutamate [NMDA] receptor subunit epsilon-1;N-methyl D-aspartate receptor subtype 2A
IPI00118384;IPI00828266;IPI00885651,-0.04,-0.04,0,-0.02,0.07,13,13,13,72.2,0.00E+00,29.2,11,+,75546440,Ywhae;RP23-78H4.1-001;mCG_10775;RP23-78H4.1-005,P62259;Q3V453;Q5SS40;Q8BPH1;A2ACM8,"14-3-3 protein epsilon;Putative uncharacterized protein;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide, isoform CRA_c"
IPI00118428;IPI00857885;IPI00153206;IPI00108307;IPI00749680,-0.13,0.08,,,,3,3,3,6,6.13E-09,69.8,7,+,19661549,Dmwd;Dm9,Q08274;Q5HZG7;Q8K0I9,Dystrophia myotonica WD repeat-containing protein;Dystrophia myotonica-containing WD repeat motif protein;DMR-N9 protein;Dmwd protein
IPI00118447;IPI00757181;IPI00751607,0.05,-0.02,-0.04,-0.13,0.08,11,9,9,34.9,4.61E-120,34.9,18,+,36440816,Pura,P42669;Q8C6E9,Transcriptional activator protein Pur-alpha;Purine-rich single-stranded DNA-binding protein alpha;Putative uncharacterized protein
IPI00118495;IPI00621974;IPI00466794;IPI00403774,,0.21,,0.11,,12,12,12,30.2,1.33E-128,56.5,6,-,71163935,Smyd1;Bop;mCG_127279,P97443-1;P97443;Q6DFW7;P97443-2;Q3UQT9;P97443-3,"SET and MYND domain-containing protein 1;Zinc finger protein BOP;CD8b-opposite;Putative uncharacterized protein;Smyd1 protein;SET and MYND domain containing 1, isoform CRA_b;SET and MYND domain containing 1, isoform CRA_a"
IPI00118569;IPI00649388,0.14,0.19,0.03,-0.04,0.03,11,11,10,32.1,5.07E-50,44.1,11,+,109224145,Gna13;Gna-13;RP23-465A12.1-001;mCG_19634,P27601;A2AA49;Q3UE40,"Guanine nucleotide-binding protein subunit alpha-13;Guanine nucleotide binding protein, alpha 13;Guanine nucleotide binding protein, alpha 13, isoform CRA_b;Putative uncharacterized protein"
IPI00118666,,,,,,1,1,1,10.3,1.94E-04,20.8,5,+,137384064,Rabl5,Q9DAI2;Q3TV16,Rab-like protein 5;Putative uncharacterized protein
IPI00118674;IPI00928374;IPI00894997,0.09,,,,,2,2,2,7.1,1.32E-05,78.5,1,-,173996805,Ncstn;mKIAA0253,P57716;Q3T9E5;Q3TD54;Q3TDE4;Q3TV74;Q6ZQF2,Nicastrin;Putative uncharacterized protein;MKIAA0253 protein
IPI00118676;IPI00929797;IPI00462110,-0.04,-0.01,0.04,0.07,0.14,13,9,9,49.3,1.77E-240,46.2,11,-,69480439,Eif4a1;Ddx2a;Eif4a;RP23-422L16.20-001,P60843;Q3TFG3;Q3TGK7;Q3U8I0;Q3UXC2;Q4FZL1;Q5F2A7;Q99LR0;Q3TLL6;Q3TSJ4;Q78WR5,Eukaryotic initiation factor 4A-I;ATP-dependent RNA helicase eIF4A-1;Putative uncharacterized protein;Eif4a1 protein;Eukaryotic translation initiation factor 4A1
IPI00118692;IPI00553696;IPI00553828;IPI00553549;IPI00136021;IPI00761433;IPI00816908;IPI00462052;IPI00462053,0.08,-0.19,-0.35,2.25,0.02,14,14,5,15.7,6.27E-272,163.2,1,-,22276332,Rims1;Kiaa0340;Rab3ip1;Rim1;rim1,Q99NE5-1;Q99NE5;Q99NE5-3;Q99NE5-4;Q99NE5-5;Q99NE5-6;Q3UYL2;Q6BCX0;Q7TPL9,Regulating synaptic membrane exocytosis protein 1;Rab3-interacting molecule 1;Rab3-interacting protein 1;Putative uncharacterized protein;Rim1;Rims1 protein
IPI00118723;IPI00750734;IPI00751431;IPI00918669;IPI00857646;IPI00857783,-0.11,0,-0.05,0.01,0.07,13,13,13,51.7,7.14E-191,36.7,2,+,30271654,Ppp2r4;Ptpa;RP23-399D3.1-001;RP23-399D3.1-002,P58389;Q543N6;Q8C0E1;A2AWE9,"Serine/threonine-protein phosphatase 2A regulatory subunit B';PP2A, subunit B', PR53 isoform;Phosphotyrosyl phosphatase activator;Protein phosphatase 2A regulatory subunit B (PR 53);Putative uncharacterized protein"
IPI00118736;IPI00222989;IPI00466073;IPI00399550;IPI00876176;IPI00854950,-0.07,0.02,0,-0.03,-0.02,5,5,5,13.8,1.75E-70,52.1,17,+,85357355,Ppm1b;ppm1b2;Pp2c2;Pppm1b;ppm1b1,Q3V461;Q5BKS2;Q99NF7;P36993-5;P36993;P36993-3;P36993-4;P36993-1;Q546R1;P36993-2,"Putative uncharacterized protein;Protein phosphatase 1B, magnesium dependent, beta isoform;Ppm1b protein;Protein phosphatase 1B2 53 kDa isoform;Protein phosphatase 1B;Protein phosphatase 2C isoform beta;Protein phosphatase 1B1 43 kDa isoform"
IPI00118757,-0.14,0.08,-0.03,-0.29,0.02,6,6,6,78.2,3.84E-42,14,2,-,25428951,Phpt1;Php14;RP23-464C2.6-001;mCG_18741,Q9DAK9;A2AJA8,14 kDa phosphohistidine phosphatase;Phosphohistidine phosphatase 1
IPI00118787,0,-0.02,0.1,0.19,-0.26,9,9,9,64.8,3.82E-115,28.4,12,-,79943976,Atp6v1d;Atp6m;Vatd;mCG_5800,P57746;Q3U684;Q3U861;Q3UJH5;Q3UK81;Q9CTI8,"V-type proton ATPase subunit D;Vacuolar proton pump subunit D;V-ATPase 28 kDa accessory protein;Putative uncharacterized protein;ATPase, H+ transporting, lysosomal V1 subunit D, isoform CRA_b"
IPI00118795;IPI00753421;IPI00274750,0.01,-0.07,-0.07,0.19,0.7,8,8,8,31.7,9.52E-261,41.2,8,-,97971879,Csnk2a2,O54833;Q545V8;Q8BPF9;Q8CDH5;Q8CEL6,Casein kinase II subunit alpha';Putative uncharacterized protein
IPI00118821,-0.05,0.06,-0.05,,0.28,6,6,6,22.7,1.55E-25,25.6,9,-,45774406,Pafah1b2;Pafahb,Q61206;Q8BTA2,Platelet-activating factor acetylhydrolase IB subunit beta;PAF acetylhydrolase 30 kDa subunit;PAF-AH subunit beta;PAFAH subunit beta;Putative uncharacterized protein
IPI00118825,,0.06,,0.02,,6,2,2,17,7.79E-87,52.3,10,-,99220435,Csl;mCG_19869,Q80X68;Q9DAM4,Citrate synthase
IPI00118826;IPI00649747,,0.06,,,,2,2,2,6,1.71E-07,35.6,11,-,115476297,Slc25a19;RP23-392H19.15-010,Q9DAM5;Q80XJ6;A2A9V7,"Mitochondrial thiamine pyrophosphate carrier;Solute carrier family 25 member 19;Solute carrier family 25 (Mitochondrial thiamine pyrophosphate carrier), member 19;Solute carrier family 25 (Mitochondrial deoxynucleotide carrier), member 19"
IPI00118827,,0.04,,,,2,2,2,32.2,4.34E-07,11.5,10,+,84565519,,Q9DAM7,UPF0444 transmembrane protein C12orf23 homolog
IPI00118832;IPI00857686;IPI00857436;IPI00856287,0,-0.01,-0.18,0.28,0.25,12,12,12,46.9,2.57E-150,28.8,5,-,121894764,Erp29,P57759;A8C1V9,Endoplasmic reticulum protein ERp29;Putative uncharacterized protein
IPI00118835,0.08,-0.07,-0.04,,0.06,17,17,17,18.5,1.03E-165,144.1,9,+,89804613,Rasgrf1;Cdc25;Grf1;mCG_122247,P27671;B2RS27;Q3UY04;Q9QYS5,"Ras-specific guanine nucleotide-releasing factor 1;GNRP;Ras-specific nucleotide exchange factor CDC25;CDC25Mm;RAS protein-specific guanine nucleotide-releasing factor 1;RAS protein-specific guanine nucleotide-releasing factor 1, isoform CRA_a;Putative uncharacterized protein;Guanine nucleotide releasing factor 1"
IPI00118849;IPI00880773;IPI00881040;IPI00880900,-0.05,-0.03,0.27,,-0.14,6,6,3,8.8,3.59E-20,85.5,16,+,94791617,Dyrk1a;Dyrk;RP24-424G16.1-001;mCG_117173;RP24-424G16.1-002;RP24-424G16.1-004,Q61214;A9C475;A1L341;Q80ZK5;Q8C774;Q8K006;A9C478,Dual specificity tyrosine-phosphorylation-regulated kinase 1A;Protein kinase minibrain homolog;MP86;Dual specificity YAK1-related kinase;Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a;Dyrk1a protein;Putative uncharacterized protein
IPI00118880;IPI00653283,0.01,0.02,0.1,,,8,8,8,16.5,2.59E-37,70.6,3,-,81835928,Gucy1b3,O54865;Q3UTI4;Q80YP4,Guanylate cyclase soluble subunit beta-1;Soluble guanylate cyclase small subunit;Putative uncharacterized protein;Gucy1b3 protein
IPI00118892;IPI00857380;IPI00856578;IPI00856699;IPI00856976,0.08,0.29,0.47,1.1,0.97,19,18,18,46.6,0.00E+00,70.1,14,+,75576688,Lcp1;Pls2,Q61233;Q3TJX0;Q3U6N7;Q3U6Z1;Q3U9M7,Plastin-2;L-plastin;Lymphocyte cytosolic protein 1;65 kDa macrophage protein;pp65;Putative uncharacterized protein
IPI00118899;IPI00830549;IPI00830639,-0.07,0,0.1,-0.03,0.16,34,31,17,51.3,0.00E+00,105,7,-,29678275,Actn4;mCG_2999;FR-17,P57780;Q1A602;Q3UDJ7;Q3ULT2;Q61064;Q8BP35,Alpha-actinin-4;Non-muscle alpha-actinin 4;F-actin cross-linking protein;Putative uncharacterized protein;Actinin alpha 4;Alpha-actinin
IPI00118900,-0.09,-0.1,-0.3,-0.23,,8,8,8,14.2,3.47E-60,61.2,15,+,103333729,Pde1b;Pde1b1,Q01065;Q6PDS5;Q9DBS6,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B;63 kDa Cam-PDE;Pde1b protein;Putative uncharacterized protein"
IPI00118924;IPI00649122;IPI00880501,1.04,-0.04,1.4,-0.09,-0.03,4,4,4,8.4,1.02E-19,55,11,-,75245234,Serpinf2;Pli;RP23-384C18.2-001;mCG_1332;RP23-384C18.2-002,Q61247;Q5ND36;Q5ND35,"Alpha-2-antiplasmin;Alpha-2-plasmin inhibitor;Serine (Or cysteine) proteinase inhibitor, clade F, member 2;Serine (Or cysteine) peptidase inhibitor, clade F, member 2, isoform CRA_c"
IPI00118929,-0.12,0.32,0.04,-0.08,-0.03,3,3,3,14.8,6.50E-51,41.2,X,+,97689698,Igbp1;Pc52,Q61249,Immunoglobulin-binding protein 1;CD79a-binding protein 1;Alpha4 phosphoprotein;Lymphocyte signal transduction molecule alpha 4;p52
IPI00118930,0.12,-0.03,0.11,0.13,0.17,13,11,11,67.1,0.00E+00,33.2,7,+,16683984,Napa;Snapa,Q9DB05;Q9CXX1,Alpha-soluble NSF attachment protein;N-ethylmaleimide-sensitive factor attachment protein alpha;Putative uncharacterized protein
IPI00118963,0,-0.05,-0.26,-0.24,0,7,7,7,43.3,3.98E-86,21.7,11,+,120345973,Mrpl12;Rpml12,Q9DB15,"39S ribosomal protein L12, mitochondrial"
IPI00118978;IPI00133981,0.16,-0.03,0.01,0.12,,12,12,8,15.3,8.17E-87,102.4,13,+,118391507,Hcn1;Bcng1;Hac2,O88704,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1;Brain cyclic nucleotide-gated channel 1;Hyperpolarization-activated cation channel 2
IPI00118980;IPI00753562;IPI00224166,0.07,-0.15,,,0.31,13,13,13,28.1,1.24E-143,80.3,12,-,40786361,Scin;mKIAA1905,Q60604-1;Q60604;Q3UWV5;Q69Z71;Q6P4N8;Q60604-2,Adseverin;Scinderin;Gelsolin-like protein;Putative uncharacterized protein;MKIAA1905 protein;Scin protein
IPI00118986;IPI00461407;IPI00919068,0,0.02,-0.07,-0.02,-0.18,11,11,11,50.2,3.16E-177,23.4,16,-,91925468,Atp5o;D12Wsu28e,Q9DB20;Q3TF25;Q3THG0,"ATP synthase subunit O, mitochondrial;Oligomycin sensitivity conferral protein;ATP synthase"
IPI00118987;IPI00884472;IPI00856917;IPI00857821,-0.06,-0.09,,0.4,0.56,8,8,8,28.2,2.43E-132,37.2,9,+,89949375,Ctsh;mCG_7939,P49935;Q3UCD6;Q922Q7,"Cathepsin H;Cathepsin B3;Cathepsin BA;Cathepsin H mini chain;Cathepsin H heavy chain;Cathepsin H light chain;Putative uncharacterized protein;Cathepsin H, isoform CRA_b"
IPI00118995;IPI00475343,,0.04,,,0.12,4,4,4,14,5.30E-10,40.3,3,+,54539493,Alg5,Q9DB25;Q9CTE8,Dolichyl-phosphate beta-glucosyltransferase;Asparagine-linked glycosylation protein 5;Putative uncharacterized protein
IPI00119004,0.07,,-0.14,0.01,0.09,6,6,6,31.3,1.49E-150,28,12,+,21322282,Iah1,Q9DB29,Isoamyl acetate-hydrolyzing esterase 1 homolog
IPI00119006;IPI00856561;IPI00458802,-0.11,-0.03,0.13,,,4,4,4,2.8,3.61E-09,177.5,16,-,89787356,Tiam1;Tiam-1,Q60610;Q3UHH6;Q3TQ81;Q3TRA4;Q3UVX2,T-lymphoma invasion and metastasis-inducing protein 1;Putative uncharacterized protein
IPI00119020,0.05,0.63,0.11,,,6,6,6,27.9,1.56E-103,25.1,7,-,13617368,Chmp2a,Q9DB34,Charged multivesicular body protein 2a;Chromatin-modifying protein 2a;Vacuolar protein-sorting-associated protein 2
IPI00119022,,,,,,1,1,1,3.8,6.69E-05,47.2,15,+,85709770,Trmu;Mtu1;Trmt1,Q9DAT5,Mitochondrial tRNA-specific 2-thiouridylase 1
IPI00119024,0.07,-0.1,-0.11,0.21,0.18,5,5,5,18.1,1.15E-74,21.6,6,+,97160797,Arl6ip5;Aip5;Jwa;Pra2;Praf3,Q8R5J9,PRA1 family protein 3;ADP-ribosylation factor-like protein 6-interacting protein 5;Glutamate transporter EAAC1-interacting protein;GTRAP3-18;Prenylated Rab acceptor protein 2;Protein JWa;Addicsin
IPI00119027;IPI00653693,,-0.21,,,,3,3,3,5.5,1.07E-06,75.3,4,+,155221581,Dvl1;Dvl;RP23-242K15.15-001;mCG_23342,P51141;Q3TRW4;Q3U2D3,"Segment polarity protein dishevelled homolog DVL-1;DSH homolog 1;Putative uncharacterized protein;Dishevelled, dsh homolog 1 (Drosophila);Dishevelled, dsh homolog 1 (Drosophila), isoform CRA_c;Dvl1 protein"
